substage,run_id,recipe,split,step,n_pairs,phase_train_n_pairs,accuracy,cross_entropy,random_accuracy,random_cross_entropy,grad_norm,lr,elapsed_sec,status
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,5000,2,"1,2",0.999755859375,0.0014697026476824249,0.125,2.0794415416798357,,0.001,190.91790080070496,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,5000,4,"1,2",0.3546142578125,6.326584696769714,0.125,2.0794415416798357,,0.001,190.91790390014648,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,5000,8,"1,2",0.239990234375,7.388399437069893,0.125,2.0794415416798357,,0.001,190.91790628433228,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,5100,4,"1,2,4",0.29296875,1.4950343370437622,0.125,2.0794415416798357,3.5014804471708043,0.001,194.03732562065125,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,5200,1,"1,2,4",1.0,3.5280078009236604e-05,0.125,2.0794415416798357,0.00024250586081712693,0.001,197.23381114006042,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,5300,2,"1,2,4",0.99609375,0.007160227745771408,0.125,2.0794415416798357,0.315550946419933,0.001,200.48493838310242,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,5400,1,"1,2,4",1.0,4.207973324810155e-05,0.125,2.0794415416798357,0.0003305635489620548,0.001,203.71236205101013,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,5500,2,"1,2,4",1.0,0.0027854074724018574,0.125,2.0794415416798357,0.3736536059857761,0.001,206.89221692085266,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,5600,4,"1,2,4",0.3046875,1.3362747430801392,0.125,2.0794415416798357,2.5018578464768924,0.001,210.15745186805725,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,5700,1,"1,2,4",1.0,2.911262708948925e-05,0.125,2.0794415416798357,0.00020173880835952954,0.001,213.5567286014557,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,5800,2,"1,2,4",0.99609375,0.027611346915364265,0.125,2.0794415416798357,0.7349460334883943,0.001,216.8477430343628,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,5900,1,"1,2,4",1.0,2.7810701794805937e-05,0.125,2.0794415416798357,0.00018447824813109363,0.001,220.1079695224762,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,6000,1,"1,2,4",1.0,5.6997254432644695e-05,0.125,2.0794415416798357,0.0008851629932888068,0.001,223.31484603881836,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,6000,1,"1,2,4",1.0,6.42174599079226e-05,0.125,2.0794415416798357,,0.001,231.2199420928955,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,6000,2,"1,2,4",0.999267578125,0.0071328692938550375,0.125,2.0794415416798357,,0.001,231.21995329856873,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,6000,4,"1,2,4",0.352294921875,1.215672079473734,0.125,2.0794415416798357,,0.001,231.21996474266052,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,6000,8,"1,2,4",0.2325439453125,2.1124776415526867,0.125,2.0794415416798357,,0.001,231.21996760368347,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,6100,4,"1,2,4",0.37890625,1.1979470252990723,0.125,2.0794415416798357,0.9460089305490513,0.001,234.57856392860413,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,6200,2,"1,2,4",1.0,0.0045629218220710754,0.125,2.0794415416798357,0.08188614940380876,0.001,237.90402150154114,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,6300,2,"1,2,4",0.99609375,0.007443232461810112,0.125,2.0794415416798357,0.8347266654348178,0.001,241.22595930099487,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,6400,4,"1,2,4",0.3125,1.2288540601730347,0.125,2.0794415416798357,1.9374223150179632,0.001,244.54706072807312,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,6500,2,"1,2,4",0.99609375,0.013805229216814041,0.125,2.0794415416798357,0.3079978898323334,0.001,248.01722311973572,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,6600,1,"1,2,4",1.0,5.563527884078212e-05,0.125,2.0794415416798357,0.00043260374101831815,0.001,251.35704946517944,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,6700,2,"1,2,4",0.99609375,0.004257495980709791,0.125,2.0794415416798357,0.054262660725339605,0.001,254.7457115650177,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,6800,2,"1,2,4",0.9921875,0.019316628575325012,0.125,2.0794415416798357,0.23689809190610267,0.001,258.12414622306824,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,6900,2,"1,2,4",0.99609375,0.007944400422275066,0.125,2.0794415416798357,0.1229930430558595,0.001,261.42528080940247,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,7000,2,"1,2,4",1.0,0.0005560327554121614,0.125,2.0794415416798357,0.003668136746006413,0.001,264.76957058906555,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,7000,1,"1,2,4",1.0,2.600464944180203e-05,0.125,2.0794415416798357,,0.001,272.633740901947,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,7000,2,"1,2,4",0.9989013671875,0.004476913398320903,0.125,2.0794415416798357,,0.001,272.6337585449219,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,7000,4,"1,2,4",0.373046875,1.192555446177721,0.125,2.0794415416798357,,0.001,272.6337697505951,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,7000,8,"1,2,4",0.23486328125,2.3394859209656715,0.125,2.0794415416798357,,0.001,272.63377261161804,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,7100,2,"1,2,4",0.99609375,0.038385190069675446,0.125,2.0794415416798357,0.486141277801479,0.001,276.0885474681854,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,7200,1,"1,2,4",1.0,7.525748515035957e-05,0.125,2.0794415416798357,0.0009214669973570689,0.001,279.3552780151367,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,7300,4,"1,2,4",0.37109375,1.1684223413467407,0.125,2.0794415416798357,0.9399437546922115,0.001,282.7078015804291,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,7400,4,"1,2,4",0.28125,1.2829638719558716,0.125,2.0794415416798357,1.5127170183644258,0.001,285.98503255844116,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,7500,1,"1,2,4",1.0,5.352135849534534e-05,0.125,2.0794415416798357,0.002186618764980415,0.001,289.3533079624176,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,7600,1,"1,2,4",1.0,3.777703022933565e-05,0.125,2.0794415416798357,0.00040707798478489045,0.001,292.5350468158722,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,7700,2,"1,2,4",0.99609375,0.020850660279393196,0.125,2.0794415416798357,1.7417875447052777,0.001,295.74747800827026,ok
