substage,run_id,recipe,split,eval_mode,step,n_pairs,q_count_mode,q_cap,phase_train_n_pairs,accuracy,all_correct,cross_entropy,random_accuracy,random_cross_entropy,grad_norm,lr,elapsed_sec,status
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,3000,4,single,1,"1,2",0.3061523523647338,0.30615234375,3.3136731702834368,0.125,2.0794415416798357,,0.001,114.78671979904175,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,3000,8,single,1,"1,2",0.19836426386609674,0.1983642578125,3.175651403144002,0.125,2.0794415416798357,,0.001,114.7867226600647,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,3100,2,capped,8,"1,2",0.8098958730697632,0.6197916666666666,0.3070201575756073,0.125,2.0794415416798357,0.41443761245145355,0.001,117.32243371009827,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,3200,2,capped,8,"1,2",0.8203125,0.640625,0.2990208566188812,0.125,2.0794415416798357,0.3380415399784541,0.001,120.07300543785095,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,3300,1,capped,8,"1,2",1.0,1.0,4.740121585200541e-05,0.125,2.0794415416798357,0.0003084264746762082,0.001,122.81825280189514,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,3400,1,capped,8,"1,2",1.0,1.0,5.8544781495584175e-05,0.125,2.0794415416798357,0.0004673567863301749,0.001,125.53982210159302,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,3500,1,capped,8,"1,2",1.0,1.0,4.885960152023472e-05,0.125,2.0794415416798357,0.0003374834349458071,0.001,128.2278060913086,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,3600,1,capped,8,"1,2",1.0,1.0,3.78798577003181e-05,0.125,2.0794415416798357,0.00024132647136168963,0.001,130.95798635482788,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,3700,2,capped,8,"1,2",0.7786458730697632,0.5572916666666666,0.32345545291900635,0.125,2.0794415416798357,0.4087460699355116,0.001,133.62840008735657,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,3800,1,capped,8,"1,2",1.0,1.0,3.1984167435439304e-05,0.125,2.0794415416798357,0.0002012202334792743,0.001,136.28395056724548,ok
